o_team,d_team,o_rank,o_points,d_rank,d_points,rank_diff,o_score,d_score,score_diff,df_score,of_score,upset_option,team_a,diff_dist,a_points,team_b,b_points
Germany,Spain,1,1533,8,1162,-7,84.16666666666667,82.6470588235294,1.5196078431372655,83.45,84.41666666666667,0.9666666666666686,Germany,0.5529411764705969,3,Spain,0
Brazil,France,2,1384,7,1166,-5,83.16666666666667,81.5625,1.6041666666666714,82.11764705882354,83.91666666666667,1.7990196078431353,France,0.1948529411764639,3,Brazil,0
