o_team,d_team,o_rank,o_points,d_rank,d_points,rank_diff,o_score,d_score,score_diff,df_score,of_score,upset_option,team_a,diff_dist,a_points,team_b,b_points
Poland,England,10,1118,13,1040,-3,75.76923076923077,78.05555555555556,-2.2863247863247835,75.47368421052632,80.5,5.026315789473685,England,7.3126405757984685,3,Poland,0
France,Croatia,7,1166,18,975,-11,83.91666666666667,80.23076923076923,3.685897435897445,81.5625,81.27272727272727,-0.28977272727273373,France,3.9756701631701787,3,Croatia,0
Brazil,Mexico,2,1384,15,1008,-13,83.16666666666667,77.53333333333333,5.63333333333334,82.11764705882354,78.61538461538461,-3.502262443438923,Brazil,9.135595776772263,3,Mexico,0
Portugal,Russia,4,1306,66,493,-62,81.91666666666667,76.0952380952381,5.821428571428569,79.83333333333333,76.53846153846153,-3.2948717948717956,Portugal,9.116300366300365,3,Russia,0
Belgium,Colombia,3,1346,16,989,-13,82.6923076923077,76.58823529411765,6.104072398190041,81.66666666666667,77.6923076923077,-3.974358974358978,Belgium,10.07843137254902,3,Colombia,0
Germany,Switzerland,1,1533,6,1179,-5,84.16666666666667,77.21052631578948,6.956140350877192,83.45,76.45454545454545,-6.99545454545455,Germany,13.951594896331741,3,Switzerland,0
Argentina,Denmark,5,1254,12,1054,-7,82.81818181818181,75.4,7.418181818181807,79.44444444444444,75.58333333333333,-3.8611111111111143,Argentina,11.279292929292922,3,Denmark,0
Spain,Uruguay,8,1162,17,976,-9,84.41666666666667,75.6875,8.729166666666671,82.6470588235294,76.54545454545455,-6.101604278074859,Spain,14.83077094474153,3,Uruguay,0
