o_team,d_team,o_rank,o_points,d_rank,d_points,rank_diff,o_score,d_score,score_diff,df_score,of_score,upset_option,team_a,diff_dist,a_points,team_b,b_points
Argentina,Spain,5,1254,8,1162,-3,82.81818181818181,82.6470588235294,0.1711229946524071,79.44444444444444,84.41666666666667,4.9722222222222285,Spain,4.801099227569821,3,Argentina,0
Portugal,France,4,1306,7,1166,-3,81.91666666666667,81.5625,0.3541666666666714,79.83333333333333,83.91666666666667,4.083333333333343,France,3.7291666666666714,3,Portugal,0
Brazil,Belgium,2,1384,3,1346,-1,83.16666666666667,81.66666666666667,1.5,82.11764705882354,82.6923076923077,0.5746606334841573,Brazil,0.9253393665158427,3,Belgium,0
Germany,England,1,1533,13,1040,-12,84.16666666666667,78.05555555555556,6.111111111111114,83.45,80.5,-2.950000000000003,Germany,9.061111111111117,3,England,0
